timestamp,mining_difficulty,hash_rate_ths,miner_revenue_usd
2009-01-03,1.0,4.97102696296296e-08,0.0
2009-01-07,0.0,0.0,0.0
2009-01-11,1.0,5.26928858074074e-06,0.0
2009-01-15,1.0,6.31320424296296e-06,0.0
2009-01-17,1.0,6.31320424296296e-06,0.0
2009-01-19,1.0,5.91552208592593e-06,0.0
2009-01-21,1.0,5.91552208592593e-06,0.0
2009-01-23,1.0,3.33058806518518e-06,0.0
2009-01-25,1.0,3.33058806518518e-06,0.0
2009-01-27,1.0,5.12015777185185e-06,0.0
2009-01-29,1.0,5.12015777185185e-06,0.0
2009-01-31,1.0,6.41262478222222e-06,0.0
2009-02-02,1.0,6.41262478222222e-06,0.0
2009-02-04,1.0,6.11436316444444e-06,0.0
2009-02-06,1.0,6.11436316444444e-06,0.0
2009-02-08,1.0,6.66117613037037e-06,0.0
2009-02-10,1.0,6.66117613037037e-06,0.0
2009-02-12,1.0,5.8658118162963e-06,0.0
2009-02-14,1.0,5.8658118162963e-06,0.0
2009-02-16,1.0,6.11436316444444e-06,0.0
2009-02-18,1.0,6.11436316444444e-06,0.0
2009-02-20,1.0,6.36291451259259e-06,0.0
2009-02-22,1.0,6.36291451259259e-06,0.0
2009-02-24,1.0,5.51783992888889e-06,0.0
2009-02-26,1.0,5.51783992888889e-06,0.0
2009-02-28,1.0,5.07044750222222e-06,0.0
2009-03-02,1.0,5.07044750222222e-06,0.0
2009-03-04,1.0,5.26928858074074e-06,0.0
2009-03-06,1.0,5.26928858074074e-06,0.0
2009-03-08,1.0,5.56755019851852e-06,0.0
2009-03-10,1.0,5.56755019851852e-06,0.0
2009-03-12,1.0,5.8658118162963e-06,0.0
2009-03-14,1.0,5.8658118162963e-06,0.0
2009-03-16,1.0,6.46233505185185e-06,0.0
2009-03-18,1.0,6.46233505185185e-06,0.0
2009-03-20,1.0,5.8658118162963e-06,0.0
2009-03-22,1.0,5.8658118162963e-06,0.0
2009-03-24,1.0,5.21957831111111e-06,0.0
2009-03-26,1.0,5.21957831111111e-06,0.0
2009-03-28,1.0,5.91552208592593e-06,0.0
2009-03-30,1.0,5.91552208592593e-06,0.0
2009-04-01,1.0,5.31899885037037e-06,0.0
2009-04-03,1.0,5.31899885037037e-06,0.0
2009-04-05,1.0,6.41262478222222e-06,0.0
2009-04-07,1.0,6.41262478222222e-06,0.0
2009-04-09,1.0,4.92131669333333e-06,0.0
2009-04-11,1.0,4.92131669333333e-06,0.0
2009-04-13,1.0,5.71668100740741e-06,0.0
2009-04-15,1.0,5.71668100740741e-06,0.0
2009-04-17,1.0,5.71668100740741e-06,0.0
2009-04-19,1.0,5.71668100740741e-06,0.0
2009-04-21,1.0,6.11436316444444e-06,0.0
2009-04-23,1.0,6.11436316444444e-06,0.0
2009-04-25,1.0,6.06465289481481e-06,0.0
2009-04-27,1.0,6.06465289481481e-06,0.0
2009-04-29,1.0,6.11436316444444e-06,0.0
2009-05-01,1.0,6.11436316444444e-06,0.0
2009-05-03,1.0,5.66697073777778e-06,0.0
2009-05-05,1.0,5.66697073777778e-06,0.0
2009-05-07,1.0,6.01494262518519e-06,0.0
2009-05-09,1.0,6.01494262518519e-06,0.0
2009-05-11,1.0,5.91552208592593e-06,0.0
2009-05-13,1.0,5.91552208592593e-06,0.0
2009-05-15,1.0,7.10856855703704e-06,0.0
2009-05-17,1.0,7.10856855703704e-06,0.0
2009-05-19,1.0,4.97102696296296e-06,0.0
2009-05-21,1.0,4.97102696296296e-06,0.0
2009-05-23,1.0,3.47971887407407e-07,0.0
2009-05-25,1.0,3.47971887407407e-07,0.0
2009-05-27,1.0,6.2137837037037e-06,0.0
2009-05-29,1.0,6.2137837037037e-06,0.0
2009-05-31,1.0,5.8658118162963e-06,0.0
2009-06-02,1.0,5.8658118162963e-06,0.0
2009-06-04,1.0,1.93870051555556e-06,0.0
2009-06-06,1.0,1.93870051555556e-06,0.0
2009-06-08,1.0,3.57913941333333e-06,0.0
2009-06-10,1.0,3.57913941333333e-06,0.0
2009-06-12,1.0,4.5236345362963e-06,0.0
2009-06-14,1.0,4.5236345362963e-06,0.0
2009-06-16,1.0,3.62884968296296e-06,0.0
2009-06-18,1.0,3.62884968296296e-06,0.0
2009-06-20,1.0,4.17566264888889e-06,0.0
2009-06-22,1.0,4.17566264888889e-06,0.0
2009-06-24,1.0,4.22537291851852e-06,0.0
2009-06-26,1.0,4.22537291851852e-06,0.0
2009-06-28,1.0,2.53522375111111e-06,0.0
2009-06-30,1.0,2.53522375111111e-06,0.0
2009-07-02,1.0,3.57913941333333e-06,0.0
2009-07-04,1.0,3.57913941333333e-06,0.0
2009-07-06,1.0,4.5236345362963e-06,0.0
2009-07-08,1.0,4.5236345362963e-06,0.0
2009-07-10,1.0,4.07624210962963e-06,0.0
2009-07-12,1.0,4.07624210962963e-06,0.0
2009-07-14,1.0,3.57913941333333e-06,0.0
2009-07-16,1.0,3.57913941333333e-06,0.0
2009-07-18,1.0,1.49130808888889e-07,0.0
2009-07-20,1.0,1.49130808888889e-07,0.0
2009-07-22,1.0,3.43000860444444e-06,0.0
2009-07-24,1.0,3.43000860444444e-06,0.0
2009-07-26,1.0,6.46233505185185e-07,0.0
2009-07-28,1.0,6.46233505185185e-07,0.0
2009-07-30,1.0,6.95943774814815e-07,0.0
2009-08-01,1.0,6.95943774814815e-07,0.0
2009-08-03,1.0,7.45654044444445e-07,0.0
2009-08-05,1.0,7.45654044444445e-07,0.0
2009-08-07,1.0,3.67855995259259e-06,0.0
2009-08-09,1.0,3.67855995259259e-06,0.0
2009-08-11,1.0,3.33058806518518e-06,0.0
2009-08-13,1.0,3.33058806518518e-06,0.0
2009-08-15,1.0,1.69014916740741e-06,0.0
2009-08-17,1.0,1.69014916740741e-06,0.0
